"name","pos"
"10014_HCMC_NA",9
"10014_HCMC_NA",16
"10014_HCMC_NA",24
"10014_HCMC_NA",34
"10014_HCMC_NA",99
"10014_HCMC_NA",113
"10014_HCMC_NA",182
"10014_HCMC_NA",196
"10014_HCMC_NA",198
"10014_HCMC_NA",219
"10014_HCMC_NA",327
"10014_HCMC_NA",351
"10021_HCMC_2009",9
"10021_HCMC_2009",24
"10021_HCMC_2009",52
"10021_HCMC_2009",63
"10021_HCMC_2009",113
"10021_HCMC_2009",164
"10021_HCMC_2009",173
"10021_HCMC_2009",182
"10021_HCMC_2009",189
"10021_HCMC_2009",198
"10021_HCMC_2009",205
"10021_HCMC_2009",274
"10021_HCMC_2009",276
"10021_HCMC_2009",277
"10021_HCMC_2009",278
"10021_HCMC_2009",287
"10021_HCMC_2009",305
"10021_HCMC_2009",317
"10021_HCMC_NA",1
"10021_HCMC_NA",9
"10021_HCMC_NA",24
"10021_HCMC_NA",29
"10021_HCMC_NA",38
"10021_HCMC_NA",113
"10021_HCMC_NA",132
"10021_HCMC_NA",137
"10021_HCMC_NA",153
"10021_HCMC_NA",160
"10021_HCMC_NA",174
"10021_HCMC_NA",182
"10021_HCMC_NA",183
"10021_HCMC_NA",184
"10021_HCMC_NA",198
"10021_HCMC_NA",208
"10021_HCMC_NA",247
"10021_HCMC_NA",290
"10021_HCMC_NA",304
"10021_HCMC_NA",328
"10021_HCMC_NA",372
"10021_HCMC_NA",375
"10031_HCMC_2009",2
"10031_HCMC_2009",3
"10031_HCMC_2009",9
"10031_HCMC_2009",10
"10031_HCMC_2009",19
"10031_HCMC_2009",22
"10031_HCMC_2009",24
"10031_HCMC_2009",26
"10031_HCMC_2009",43
"10031_HCMC_2009",47
"10031_HCMC_2009",76
"10031_HCMC_2009",86
"10031_HCMC_2009",88
"10031_HCMC_2009",113
"10031_HCMC_2009",119
"10031_HCMC_2009",121
"10031_HCMC_2009",130
"10031_HCMC_2009",158
"10031_HCMC_2009",159
"10031_HCMC_2009",182
"10031_HCMC_2009",185
"10031_HCMC_2009",187
"10031_HCMC_2009",198
"10031_HCMC_2009",209
"10031_HCMC_2009",213
"10031_HCMC_2009",220
"10031_HCMC_2009",224
"10031_HCMC_2009",225
"10031_HCMC_2009",228
"10031_HCMC_2009",234
"10031_HCMC_2009",248
"10031_HCMC_2009",279
"10031_HCMC_2009",322
"10031_HCMC_2009",333
"10031_HCMC_2009",335
"10031_HCMC_2009",344
"10031_HCMC_2009",349
"10031_HCMC_2009",351
"10031_HCMC_NA",9
"10031_HCMC_NA",24
"10031_HCMC_NA",26
"10031_HCMC_NA",85
"10031_HCMC_NA",86
"10031_HCMC_NA",88
"10031_HCMC_NA",113
"10031_HCMC_NA",182
"10031_HCMC_NA",185
"10031_HCMC_NA",191
"10031_HCMC_NA",198
"10031_HCMC_NA",203
"10031_HCMC_NA",234
"10031_HCMC_NA",236
"10031_HCMC_NA",349
"10031_HCMC_NA",351
"10031_HCMC_NA",377
"10035_HCMC_2009",9
"10035_HCMC_2009",17
"10035_HCMC_2009",24
"10035_HCMC_2009",41
"10035_HCMC_2009",62
"10035_HCMC_2009",113
"10035_HCMC_2009",144
"10035_HCMC_2009",147
"10035_HCMC_2009",168
"10035_HCMC_2009",182
"10035_HCMC_2009",185
"10035_HCMC_2009",194
"10035_HCMC_2009",198
"10035_HCMC_2009",227
"10035_HCMC_2009",234
"10035_HCMC_2009",238
"10035_HCMC_2009",252
"10035_HCMC_2009",254
"10035_HCMC_2009",257
"10035_HCMC_2009",286
"10035_HCMC_2009",338
"10035_HCMC_2009",351
"10035_HCMC_2009",367
"10035_HCMC_2009",382
"10035_HCMC_NA",9
"10035_HCMC_NA",24
"10035_HCMC_NA",29
"10035_HCMC_NA",58
"10035_HCMC_NA",113
"10035_HCMC_NA",132
"10035_HCMC_NA",137
"10035_HCMC_NA",143
"10035_HCMC_NA",153
"10035_HCMC_NA",160
"10035_HCMC_NA",174
"10035_HCMC_NA",182
"10035_HCMC_NA",183
"10035_HCMC_NA",198
"10035_HCMC_NA",208
"10035_HCMC_NA",231
"10035_HCMC_NA",290
"10035_HCMC_NA",372
"10060_HCMC_2009",9
"10060_HCMC_2009",16
"10060_HCMC_2009",24
"10060_HCMC_2009",34
"10060_HCMC_2009",113
"10060_HCMC_2009",182
"10060_HCMC_2009",196
"10060_HCMC_2009",198
"10060_HCMC_2009",219
"10060_HCMC_2009",246
"10060_HCMC_2009",264
"10060_HCMC_2009",327
"10060_HCMC_2009",346
"10060_HCMC_2009",351
"10060_HCMC_NA",9
"10060_HCMC_NA",16
"10060_HCMC_NA",24
"10060_HCMC_NA",34
"10060_HCMC_NA",75
"10060_HCMC_NA",113
"10060_HCMC_NA",182
"10060_HCMC_NA",196
"10060_HCMC_NA",198
"10060_HCMC_NA",219
"10060_HCMC_NA",327
"10060_HCMC_NA",351
"10063_HCMC_2009",9
"10063_HCMC_2009",16
"10063_HCMC_2009",24
"10063_HCMC_2009",34
"10063_HCMC_2009",101
"10063_HCMC_2009",113
"10063_HCMC_2009",182
"10063_HCMC_2009",196
"10063_HCMC_2009",198
"10063_HCMC_2009",219
"10063_HCMC_2009",327
"10063_HCMC_2009",351
"10063_HCMC_NA",9
"10063_HCMC_NA",16
"10063_HCMC_NA",24
"10063_HCMC_NA",34
"10063_HCMC_NA",113
"10063_HCMC_NA",182
"10063_HCMC_NA",196
"10063_HCMC_NA",198
"10063_HCMC_NA",219
"10063_HCMC_NA",327
"10063_HCMC_NA",351
"10071_HCMC_2009",9
"10071_HCMC_2009",16
"10071_HCMC_2009",24
"10071_HCMC_2009",34
"10071_HCMC_2009",113
"10071_HCMC_2009",182
"10071_HCMC_2009",196
"10071_HCMC_2009",198
"10071_HCMC_2009",219
"10071_HCMC_2009",327
"10071_HCMC_2009",351
"10071_HCMC_NA",9
"10071_HCMC_NA",16
"10071_HCMC_NA",24
"10071_HCMC_NA",34
"10071_HCMC_NA",83
"10071_HCMC_NA",113
"10071_HCMC_NA",182
"10071_HCMC_NA",196
"10071_HCMC_NA",198
"10071_HCMC_NA",219
"10071_HCMC_NA",327
"10071_HCMC_NA",351
"10073_HCMC_2009",9
"10073_HCMC_2009",16
"10073_HCMC_2009",24
"10073_HCMC_2009",34
"10073_HCMC_2009",113
"10073_HCMC_2009",182
"10073_HCMC_2009",196
"10073_HCMC_2009",198
"10073_HCMC_2009",219
"10073_HCMC_2009",327
"10073_HCMC_2009",351
"10073_HCMC_NA",8
"10073_HCMC_NA",9
"10073_HCMC_NA",16
"10073_HCMC_NA",24
"10073_HCMC_NA",34
"10073_HCMC_NA",72
"10073_HCMC_NA",102
"10073_HCMC_NA",113
"10073_HCMC_NA",128
"10073_HCMC_NA",161
"10073_HCMC_NA",182
"10073_HCMC_NA",196
"10073_HCMC_NA",198
"10073_HCMC_NA",219
"10073_HCMC_NA",242
"10073_HCMC_NA",250
"10073_HCMC_NA",266
"10073_HCMC_NA",284
"10073_HCMC_NA",301
"10073_HCMC_NA",311
"10073_HCMC_NA",327
"10073_HCMC_NA",351
"10083_HCMC_2009",9
"10083_HCMC_2009",16
"10083_HCMC_2009",24
"10083_HCMC_2009",34
"10083_HCMC_2009",101
"10083_HCMC_2009",113
"10083_HCMC_2009",182
"10083_HCMC_2009",196
"10083_HCMC_2009",198
"10083_HCMC_2009",219
"10083_HCMC_2009",241
"10083_HCMC_2009",298
"10083_HCMC_2009",319
"10083_HCMC_2009",327
"10083_HCMC_2009",351
